SpecName,AverageFruitLength_cm,armature,armature_leaf,armature_stem,Fruit_size_binary
Calamus_anomalus,NA,1,1,0,NA
Calamus_arborescens,2.2,1,1,0,0
Calamus_arfakianus,NA,1,1,0,NA
Calamus_aruensis,1.1,1,1,0,0
Calamus_arugda,NA,1,1,0,NA
Calamus_ashtonii,0.75,1,1,1,0
Calamus_asperrimus,NA,1,1,0,NA
Calamus_australis,1.3,1,1,0,0
Calamus_austroguangxiensis,1.8,1,1,0,0
Calamus_axillaris,1.1,1,1,0,0
Calamus_bachmaensis,NA,1,1,0,NA
Calamus_bacularis,0.7,1,1,0,0
Calamus_balerensis,NA,1,1,0,NA
Calamus_balingensis,0.8,1,1,0,0
Calamus_bankae,NA,1,1,0,NA
Calamus_baratangensis,1.25,1,1,0,0
Calamus_barbatus,NA,1,1,0,NA
Calamus_basui,1.5,1,1,0,0
Calamus_batanensis,1,1,1,0,0
Calamus_beccarii,1.2,1,1,0,0
Calamus_benkulensis,0.6,1,1,0,0
Calamus_bicolor,0.3,1,1,0,0
Calamus_billitonensis,NA,1,1,0,NA
Calamus_bimaniferus,0.8,1,1,0,0
Calamus_blumei,2.2,1,1,0,0
Calamus_boniensis,NA,1,1,0,NA
Calamus_bousigonii,1.8,1,1,0,0
Calamus_brandisii,1,1,1,0,0
Calamus_brassii,NA,1,1,0,NA
Calamus_brevifolius,NA,1,1,0,NA
Calamus_burckianus,0.6,1,1,0,0
Calamus_burkillianus,1.2,1,1,0,0
Calamus_buroensis,NA,1,1,0,NA
Calamus_caesius,1.5,1,1,0,0
Calamus_calospathus,2.48,1,1,0,0
Calamus_caryotoides,1.5,1,1,0,0
Calamus_castaneus,2.5,1,1,0,0
Calamus_cawa,NA,1,1,0,NA
Calamus_centralis,NA,1,1,0,NA
Calamus_ceratophorus,1.9,1,1,0,0
Calamus_ciliaris,0.9,1,1,0,0
Calamus_cockburnii,1,1,1,0,0
Calamus_compsostachys,1,1,1,0,0
Calamus_comptus,0.7,1,1,0,0
Calamus_concinnus,0.8,1,1,0,0
Calamus_congestiflorus,NA,1,1,0,NA
Calamus_conirostris,3,1,1,0,0
Calamus_conjugatus,NA,1,1,0,NA
Calamus_convallium,3.12,1,1,0,0
Calamus_corneri,NA,1,1,0,NA
Calamus_corrugatus,1,1,1,0,0
Calamus_crassifolius,NA,1,1,0,NA
Calamus_crispus,NA,1,1,0,NA
Calamus_cumingianus,0.65,1,1,0,0
Calamus_curag,NA,1,1,0,NA
Calamus_cuthbertsonii,NA,1,1,0,NA
Calamus_dasyacanthus,1.09,1,1,0,0
Calamus_deerratus,1.5,1,1,0,0
Calamus_delessertianus,1.5,1,1,0,0
Calamus_delicatulus,1,1,1,0,0
Calamus_densiflorus,2,1,1,0,0
Calamus_depauperatus,NA,1,1,0,NA
Calamus_dianbaiensis,2,1,1,0,0
